"PROD_ID","TIME_ID","PROMO_ID","CHANNEL_ID","UNIT_COST","UNIT_PRICE"
13,2019-02-10,999,3,813.07,1237.31
14,2019-01-19,999,2,886.45,1108.99
14,2019-02-02,999,4,863.64,1108.99
14,2019-02-05,999,4,875.1,1259.99
14,2019-02-17,999,4,863.64,1124.52
14,2019-02-28,999,4,863.64,1124.52
14,2019-03-14,999,4,863.64,1176.23
14,2019-03-30,999,2,904.18,1176.23
15,2019-01-10,999,4,846.71,999.99
15,2019-01-19,999,3,875.22,1013.99
15,2019-01-19,999,4,846.71,999.99
15,2019-01-20,999,4,846.71,1013.99
15,2019-02-10,999,2,904.18,999.99
15,2019-02-10,999,4,863.64,999.99
15,2019-02-14,999,3,908.8,1003.49
15,2019-02-21,999,3,903.41,1003.49
15,2019-02-23,999,3,908.8,1003.49
15,2019-02-25,999,3,903.41,1003.49
17,2019-01-22,999,3,957.04,1495.99
17,2019-02-25,999,2,988.79,1550.99
17,2019-03-05,999,2,988.79,1550.99
18,2019-01-10,999,4,1100.73,1552.83
18,2019-01-15,999,3,1133.3,1632.79
18,2019-01-20,999,2,1152.39,1552.83
18,2019-02-05,999,4,1137.64,1728.99
18,2019-02-16,999,4,1122.74,1531.39
18,2019-03-14,999,2,1170.86,1674.39
19,2019-01-14,999,4,48.71,62.4
19,2019-01-19,999,3,48.71,63.02
19,2019-01-26,999,2,49.34,63.02
19,2019-03-10,999,2,50.33,63.02
19,2019-03-20,999,3,49.68,63.02
19,2019-03-30,999,4,49,63.02
20,2019-01-10,999,3,522.02,599.99
20,2019-01-13,999,2,528.76,608.39
20,2019-02-16,999,3,532.46,599.99
20,2019-02-17,999,3,532.46,599.99
20,2019-02-25,999,3,532.46,599.99
20,2019-03-23,999,3,542.05,602.09
21,2019-01-17,999,3,787.7,1052.99
21,2019-01-18,999,3,787.7,1067.73
21,2019-01-20,999,2,797.81,1067.73
21,2019-02-16,999,3,803.45,1067.73
21,2019-02-17,999,4,777.28,1067.73
21,2019-02-26,999,2,813.77,1067.73
21,2019-02-28,999,3,803.45,1075.95
21,2019-03-26,999,4,777.28,1075.95
22,2019-01-03,999,3,21.87,26.61
22,2019-01-13,999,3,21.87,26.61
22,2019-01-26,999,3,22.18,26.29
22,2019-02-08,999,4,21.58,26.56
22,2019-02-16,999,2,22.6,26.61
22,2019-03-02,999,2,22.91,26.34
22,2019-03-26,999,3,22.31,26.61
22,2019-03-28,999,3,22.31,26.61
23,2019-01-30,999,3,19.13,24.08
23,2019-02-03,999,3,19.51,23.75
23,2019-03-07,999,3,19.51,23.75
23,2019-03-30,999,3,19.51,23.75
24,2019-01-20,999,2,40.53,48.75
24,2019-01-23,999,3,40.01,49.34
24,2019-01-25,999,4,39.46,49.43
24,2019-02-02,999,2,41.34,49.43
24,2019-02-13,999,2,41.34,49.43
24,2019-02-14,999,4,40.25,48.66
24,2019-02-16,999,4,40.25,48.75
24,2019-02-19,999,2,41.34,49.43
24,2019-02-19,999,4,40.25,49.34
24,2019-02-26,999,3,40.81,49.43
24,2019-02-28,999,2,41.34,49.34
24,2019-03-07,999,3,40.81,49.43
24,2019-03-12,999,4,40.25,48.75
24,2019-03-28,999,3,40.81,48.75
24,2019-03-30,999,2,41.34,49.43
24,2019-03-30,999,3,40.81,49.43
25,2019-01-30,999,3,98.3,128.32
25,2019-02-19,999,3,102.07,126.99
25,2019-02-21,999,3,100.27,128.32
25,2019-03-12,999,3,100.27,128.32
25,2019-03-26,999,2,101.57,126.55
26,2019-01-23,999,3,130.5,167.99
26,2019-02-17,999,3,135.51,168.58
26,2019-02-21,999,3,133.11,170.34
27,2019-03-17,999,3,40.48,48.78
28,2019-01-19,999,3,174,216.99
28,2019-01-30,999,3,174,216.99
28,2019-02-17,999,3,180.67,214.74
28,2019-03-17,999,3,179.97,214.85
28,2019-03-26,999,3,180.67,214.74
29,2019-01-02,999,3,437.61,553.99
29,2019-01-11,999,2,443.22,552.11
29,2019-01-17,999,2,443.22,561.75
29,2019-01-20,999,4,423.35,561.75
29,2019-01-23,999,3,437.61,561.75
29,2019-02-10,999,2,452.08,561.75
29,2019-02-17,999,2,452.08,561.75
29,2019-02-21,999,4,431.82,552.11
29,2019-03-23,999,3,446.36,561.75
29,2019-03-28,999,3,446.36,553.99
30,2019-01-13,999,3,8.69,10.79
30,2019-01-23,999,3,8.84,10.83
30,2019-02-07,999,4,8.74,10.79
30,2019-02-12,999,3,8.86,10.94
30,2019-02-19,999,3,8.86,10.79
30,2019-02-28,999,2,8.98,10.79
30,2019-03-30,999,3,8.86,10.79
31,2019-01-07,999,4,7.84,9.74
31,2019-01-16,999,2,7.92,9.71
31,2019-02-12,999,3,8.13,9.74
32,2019-01-07,999,3,59.16,74.46
32,2019-03-07,999,3,60.34,73.43
34,2019-01-07,999,3,35,43.56
34,2019-01-08,999,3,35,42.96
34,2019-01-18,999,4,33.86,43.56
34,2019-02-02,999,2,35.94,46.23
34,2019-02-02,999,3,35.49,46.23
34,2019-02-03,999,2,35.94,46.23
34,2019-03-26,999,2,36.6,44.95
34,2019-03-26,999,3,36.12,44.95
35,2019-01-03,999,3,43.5,56.99
35,2019-01-07,999,3,46.19,54.92
35,2019-01-10,999,3,43.76,53.7
35,2019-01-14,999,2,44.31,54.92
35,2019-01-18,999,3,43.76,54.45
35,2019-01-20,999,2,45.11,53.89
35,2019-01-23,999,4,42.33,54.92
35,2019-02-12,999,3,47.11,54.16
35,2019-02-17,999,3,47.11,54.16
35,2019-02-17,999,4,43.18,54.45
35,2019-02-19,999,4,43.78,53.91
35,2019-02-28,999,2,44.93,56.99
35,2019-03-12,999,3,44.37,55.99
35,2019-03-23,999,3,44.37,56.77
36,2019-01-02,999,4,38.09,49.01
36,2019-01-13,999,3,39.37,49.01
36,2019-01-26,999,2,39.65,52.01
36,2019-01-30,999,3,39.37,48.33
36,2019-02-02,999,3,39.92,51.29
36,2019-02-15,999,3,39.92,51.29
36,2019-02-25,999,3,39.92,51.29
36,2019-02-26,999,3,39.92,52.01
36,2019-03-04,999,3,39.92,51.1
36,2019-03-26,999,2,40.44,50.39
36,2019-03-27,999,3,39.92,51.1
37,2019-01-07,999,4,46.56,59.91
37,2019-01-18,999,3,48.12,59.91
