999|NO PROMOTION #|NO RPOMOTION|11|NO PROMOTION|2|0|9999-01-01-00-00-00|9999-01-01-00-00-00|Promotion total|1
108|newspaper promotion #16-108|ad news|16|newspaper|8|200|2000-12-23-00-00-00|2001-01-23-00-00-00|Promotion total|1
232|post promotion #20-232|downtown billboard|20|post|9|300|1998-09-25-00-00-00|1998-11-25-00-00-00|Promotion total|1
349|newspaper promotion #16-349|ad news|16|newspaper|8|400|1998-07-10-00-00-00|1998-09-10-00-00-00|Promotion total|1
471|internet promotion #14-471|ad|14|internet|6|600|2000-02-26-00-00-00|2000-03-26-00-00-00|Promotion total|1
448|TV promotion #13-448|TV program sponsorship|13|TV|3|1100|2000-08-06-00-00-00|2000-09-06-00-00-00|Promotion total|1
86|internet promotion #25-86|loyal customer discount|25|internet|6|1400|1998-09-20-00-00-00|1998-11-20-00-00-00|Promotion total|1
49|TV promotion #12-49|TV commercial|12|TV|3|1500|2000-08-10-00-00-00|2000-09-10-00-00-00|Promotion total|1
166|post promotion #21-166|freeway billboard|21|post|9|2000|1998-09-25-00-00-00|1998-11-25-00-00-00|Promotion total|1
210|newspaper promotion #19-210|coupon news|19|newspaper|8|2100|1999-03-19-00-00-00|1999-06-19-00-00-00|Promotion total|1
282|post promotion #20-282|downtown billboard|20|post|9|2300|2000-12-06-00-00-00|2001-01-06-00-00-00|Promotion total|1
327|newspaper promotion #16-327|ad news|16|newspaper|8|2800|1999-04-09-00-00-00|1999-07-09-00-00-00|Promotion total|1
289|internet promotion #29-289|online discount|29|internet|6|3000|1998-11-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
252|TV promotion #12-252|TV commercial|12|TV|3|3100|1998-06-20-00-00-00|1998-08-20-00-00-00|Promotion total|1
258|magazine promotion #26-258|manufacture rebate magazine|26|magazine|7|3200|2000-05-04-00-00-00|2000-06-04-00-00-00|Promotion total|1
528|internet promotion #29-528|online discount|29|internet|6|3400|2000-12-15-00-00-00|2001-01-15-00-00-00|Promotion total|1
324|newspaper promotion #16-324|ad news|16|newspaper|8|3600|2000-02-17-00-00-00|2000-03-17-00-00-00|Promotion total|1
406|radio promotion #32-406|radio program sponsorship|32|radio|10|4000|1998-09-11-00-00-00|1998-11-11-00-00-00|Promotion total|1
84|newspaper promotion #19-84|coupon news|19|newspaper|8|4100|1999-01-27-00-00-00|1999-04-27-00-00-00|Promotion total|1
449|post promotion #20-449|downtown billboard|20|post|9|4200|1998-11-10-00-00-00|1999-01-10-00-00-00|Promotion total|1
308|internet promotion #25-308|loyal customer discount|25|internet|6|4300|2000-12-23-00-00-00|2001-01-23-00-00-00|Promotion total|1
412|newspaper promotion #19-412|coupon news|19|newspaper|8|4500|1998-06-03-00-00-00|1998-08-03-00-00-00|Promotion total|1
82|TV promotion #13-82|TV program sponsorship|13|TV|3|4800|2000-12-06-00-00-00|2001-01-06-00-00-00|Promotion total|1
152|newspaper promotion #27-152|manufacture rebate news|27|newspaper|8|5100|2000-02-12-00-00-00|2000-03-12-00-00-00|Promotion total|1
224|TV promotion #13-224|TV program sponsorship|13|TV|3|5200|2000-08-02-00-00-00|2000-09-02-00-00-00|Promotion total|1
88|post promotion #21-88|freeway billboard|21|post|9|5400|2000-08-07-00-00-00|2000-09-07-00-00-00|Promotion total|1
266|internet promotion #29-266|online discount|29|internet|6|5500|1998-06-13-00-00-00|1998-08-13-00-00-00|Promotion total|1
479|TV promotion #13-479|TV program sponsorship|13|TV|3|5700|1999-03-17-00-00-00|1999-06-17-00-00-00|Promotion total|1
497|newspaper promotion #16-497|ad news|16|newspaper|8|5900|1999-03-25-00-00-00|1999-06-25-00-00-00|Promotion total|1
407|post promotion #20-407|downtown billboard|20|post|9|6100|1999-04-16-00-00-00|1999-07-16-00-00-00|Promotion total|1
199|post promotion #21-199|freeway billboard|21|post|9|6400|1998-06-13-00-00-00|1998-08-13-00-00-00|Promotion total|1
403|magazine promotion #26-403|manufacture rebate magazine|26|magazine|7|6500|1998-07-17-00-00-00|1998-09-17-00-00-00|Promotion total|1
91|internet promotion #29-91|online discount|29|internet|6|6600|2000-08-03-00-00-00|2000-09-03-00-00-00|Promotion total|1
268|post promotion #17-268|billboard|17|post|9|6800|2000-12-18-00-00-00|2001-01-18-00-00-00|Promotion total|1
387|TV promotion #13-387|TV program sponsorship|13|TV|3|7100|1999-10-24-00-00-00|2000-01-24-00-00-00|Promotion total|1
206|magazine promotion #18-206|coupon magazine|18|magazine|7|7200|1998-09-11-00-00-00|1998-11-11-00-00-00|Promotion total|1
367|TV promotion #13-367|TV program sponsorship|13|TV|3|7300|2000-08-17-00-00-00|2000-09-17-00-00-00|Promotion total|1
48|newspaper promotion #19-48|coupon news|19|newspaper|8|7600|1999-04-06-00-00-00|1999-07-06-00-00-00|Promotion total|1
