1|promotion name# 1|downtown billboard|post|77200|15-SEP-1998|15-NOV-1998|
2|promotion name# 2|hospital flyer|flyer|47100|13-APR-1999|13-JUL-1999|
3|promotion name# 3|coupon news|newspaper|23900|25-AUG-2000|25-SEP-2000|
4|promotion name# 4|manufacture rebate news|newspaper|8700|18-NOV-1998|18-JAN-1999|
5|promotion name# 5|TV program sponsorship|TV|5700|17-MAR-1999|17-JUN-1999|
6|promotion name# 6|ad news|newspaper|76800|8-MAY-2000|8-JUN-2000|
7|promotion name# 7|online discount|internet|36400|30-JUN-1998|30-AUG-1998|
8|promotion name# 8|manufacture rebate news|newspaper|65600|26-OCT-1999|26-JAN-2000|
9|promotion name# 9|billboard|post|39500|11-DEC-2000|11-JAN-2001|
10|promotion name# 10|coupon news|newspaper|22400|16-JUL-1998|16-SEP-1998|
11|promotion name# 11|TV commercial|TV|94700|23-JAN-1999|23-APR-1999|
12|promotion name# 12|loyal customer discount|internet|86400|22-FEB-2000|22-MAR-2000|
13|promotion name# 13|hospital flyer|flyer|91400|19-SEP-1998|19-NOV-1998|
14|promotion name# 14|downtown billboard|post|73800|21-APR-1999|21-JUL-1999|
15|promotion name# 15|online discount|internet|6600|3-AUG-2000|3-SEP-2000|
16|promotion name# 16|TV program sponsorship|TV|25200|5-NOV-1998|5-JAN-1999|
17|promotion name# 17|freeway billboard|post|68700|6-MAR-1999|6-JUN-1999|
18|promotion name# 18|radio program sponsorship|radio|97200|10-MAY-2000|10-JUN-2000|
19|promotion name# 19|loyal customer discount|internet|77600|27-JUN-1998|27-AUG-1998|
20|promotion name# 20|downtown billboard|post|57800|12-OCT-1999|12-JAN-2000|
21|promotion name# 21|downtown billboard|post|83100|20-DEC-2000|20-JAN-2001|
22|promotion name# 22|TV commercial|TV|78800|24-JUL-1998|24-SEP-1998|
23|promotion name# 23|coupon news|newspaper|89900|7-JAN-1999|7-APR-1999|
24|promotion name# 24|hospital flyer|flyer|58900|1-FEB-2000|1-MAR-2000|
25|promotion name# 25|online discount|internet|87300|29-SEP-1998|29-NOV-1998|
26|promotion name# 26|coupon news|newspaper|39800|14-APR-1999|14-JUL-1999|
27|promotion name# 27|TV program sponsorship|TV|5200|2-AUG-2000|2-SEP-2000|
28|promotion name# 28|online discount|internet|38200|9-NOV-1998|9-JAN-1999|
29|promotion name# 29|manufacture rebate magazine|magazine|63300|28-MAR-1999|28-JUN-1999|
30|promotion name# 30|manufacture rebate magazine|magazine|3200|4-MAY-2000|4-JUN-2000|
31|promotion name# 31|online discount|internet|85600|15-JUN-1998|15-AUG-1998|
32|promotion name# 32|online discount|internet|70000|31-OCT-1999|31-JAN-2000|
33|promotion name# 33|radio program sponsorship|radio|56300|13-DEC-2000|13-JAN-2001|
34|promotion name# 34|downtown billboard|post|68200|25-JUL-1998|25-SEP-1998|
35|promotion name# 35|freeway billboard|post|58600|18-JAN-1999|18-APR-1999|
36|promotion name# 36|ad news|newspaper|3600|17-FEB-2000|17-MAR-2000|
37|promotion name# 37|online discount|internet|96300|8-SEP-1998|8-NOV-1998|
38|promotion name# 38|coupon news|newspaper|28300|30-APR-1999|30-JUL-1999|
39|promotion name# 39|coupon news|newspaper|25500|26-AUG-2000|26-SEP-2000|
40|promotion name# 40|TV program sponsorship|TV|51500|11-NOV-1998|11-JAN-1999|
41|promotion name# 41|TV program sponsorship|TV|40700|16-MAR-1999|16-JUN-1999|
42|promotion name# 42|coupon news|newspaper|54500|23-MAY-2000|23-JUN-2000|
43|promotion name# 43|coupon news|newspaper|70500|22-JUN-1998|22-AUG-1998|
44|promotion name# 44|coupon news|newspaper|94900|19-OCT-1999|19-JAN-2000|
45|promotion name# 45|loyal customer discount|internet|41300|21-DEC-2000|21-JAN-2001|
46|promotion name# 46|ad|internet|20100|3-JUL-1998|3-SEP-1998|
47|promotion name# 47|freeway billboard|post|58400|5-JAN-1999|5-APR-1999|
48|promotion name# 48|coupon magazine|magazine|48700|6-FEB-2000|6-MAR-2000|
49|promotion name# 49|downtown billboard|post|66700|10-SEP-1998|10-NOV-1998|
50|promotion name# 50|general flyer|flyer|43700|27-APR-1999|27-JUL-1999|
51|promotion name# 51|TV program sponsorship|TV|84300|12-AUG-2000|12-SEP-2000|
52|promotion name# 52|TV program sponsorship|TV|10000|20-NOV-1998|20-JAN-1999|
53|promotion name# 53|coupon magazine|magazine|65700|24-MAR-1999|24-JUN-1999|
54|promotion name# 54|ad|internet|67400|7-MAY-2000|7-JUN-2000|
55|promotion name# 55|hospital flyer|flyer|37200|1-JUN-1998|1-AUG-1998|
56|promotion name# 56|manufacture rebate magazine|magazine|87000|29-OCT-1999|29-JAN-2000|
57|promotion name# 57|coupon news|newspaper|57000|14-DEC-2000|14-JAN-2001|
58|promotion name# 58|ad|internet|61700|2-JUL-1998|2-SEP-1998|
59|promotion name# 59|TV commercial|TV|61300|9-JAN-1999|9-APR-1999|
60|promotion name# 60|coupon magazine|magazine|50600|28-FEB-2000|28-MAR-2000|
61|promotion name# 61|general flyer|flyer|92300|4-SEP-1998|4-NOV-1998|
62|promotion name# 62|ad news|newspaper|22200|15-APR-1999|15-JUL-1999|
63|promotion name# 63|TV program sponsorship|TV|38900|31-AUG-2000|30-SEP-2000|
64|promotion name# 64|TV program sponsorship|TV|56800|13-NOV-1998|13-JAN-1999|
65|promotion name# 65|ad news|newspaper|5900|25-MAR-1999|25-JUN-1999|
66|promotion name# 66|freeway billboard|post|31700|18-MAY-2000|18-JUN-2000|
67|promotion name# 67|promotion movie|TV|66000|17-JUN-1998|17-AUG-1998|
