"TIME_ID","DAY_NAME","DAY_NUMBER_IN_WEEK","DAY_NUMBER_IN_MONTH","CALENDAR_WEEK_NUMBER","FISCAL_WEEK_NUMBER","WEEK_ENDING_DAY","WEEK_ENDING_DAY_ID","CALENDAR_MONTH_NUMBER","FISCAL_MONTH_NUMBER","CALENDAR_MONTH_DESC","CALENDAR_MONTH_ID","FISCAL_MONTH_DESC","FISCAL_MONTH_ID","DAYS_IN_CAL_MONTH","DAYS_IN_FIS_MONTH","END_OF_CAL_MONTH","END_OF_FIS_MONTH","CALENDAR_MONTH_NAME","FISCAL_MONTH_NAME","CALENDAR_QUARTER_DESC","CALENDAR_QUARTER_ID","FISCAL_QUARTER_DESC","FISCAL_QUARTER_ID","DAYS_IN_CAL_QUARTER","DAYS_IN_FIS_QUARTER","END_OF_CAL_QUARTER","END_OF_FIS_QUARTER","CALENDAR_QUARTER_NUMBER","FISCAL_QUARTER_NUMBER","CALENDAR_YEAR","CALENDAR_YEAR_ID","FISCAL_YEAR","FISCAL_YEAR_ID","DAYS_IN_CAL_YEAR","DAYS_IN_FIS_YEAR","END_OF_CAL_YEAR","END_OF_FIS_YEAR"
2019-05-31,"Friday",5,31,22,22,2019-06-02,1670,5,5,"2019-05",1676,"2019-05",1724,31,35,2019-05-31,2019-05-31,"May","May","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-01,"Saturday",6,1,22,22,2019-06-02,1506,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-02,"Sunday",7,2,22,22,2019-06-02,1506,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-03,"Monday",1,3,22,22,2019-06-09,1506,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-04,"Tuesday",2,4,23,23,2019-06-09,1506,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-05,"Wednesday",3,5,23,23,2019-06-09,1506,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-06,"Thursday",4,6,23,23,2019-06-09,1506,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-07,"Friday",5,7,23,23,2019-06-09,1506,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-08,"Saturday",6,8,23,23,2019-06-09,1554,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-09,"Sunday",7,9,23,23,2019-06-09,1554,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-10,"Monday",1,10,23,23,2019-06-16,1554,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-11,"Tuesday",2,11,24,24,2019-06-16,1554,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-12,"Wednesday",3,12,24,24,2019-06-16,1554,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-13,"Thursday",4,13,24,24,2019-06-16,1554,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-14,"Friday",5,14,24,24,2019-06-16,1554,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
2019-06-15,"Saturday",6,15,24,24,2019-06-16,1602,6,6,"2019-06",1677,"2019-06",1725,30,28,2019-06-30,2019-06-28,"June","June","2019-02",1770,"2019-02",1786,91,91,2019-06-30,2019-06-28,2,2,2019,1802,2019,1806,365,361,2019-12-31,2019-12-27
